siteId,col,row
lagrange-10,10546,8747
lagrange-11,9929,8624
lagrange-12,9978,8383
lagrange-13,7931,8738
lagrange-15,11460,7362
usgs-04096405,12584,3448
usgs-04096515,14714,5111
usgs-04097500,8043,5340
usgs-040975299,11064,6441
usgs-04097540,9901,5883
usgs-04099000,7043,6910
usgs-04099750,8542,7459
usgs-04100500,6303,9219
usgs-04101000,5240,8137
usgs-04101500,2856,6640
usgs-04101535,4096,4420
usgs-04101800,3233,5700
usgs-04102500,1917,2681
tolthawk-393,9553,9922
tolthawk-397,10833,10602
tolthawk-395,11113,10008
tolthawk-398,12658,7639
tolthawk-396,2884,8905
tolthawk-394,2929,9092
tolthawk-392,4685,8712
tolthawk-399,6740,7750
